Date,Year,Month,Day,Weekday,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-08-05,2014,8,5,Tuesday,40.16999816894531,39.54999923706055,40.029998779296875,3107500.0,34.19451141357422,-0.002243089354697747,34.18474306379046,34.81083213806152
2014-08-06,2014,8,6,Wednesday,40.709999084472656,39.720001220703125,40.470001220703125,2698600.0,34.570369720458984,0.010991772987742232,34.24148804800851,34.8054467010498
2014-08-07,2014,8,7,Thursday,40.779998779296875,40.09000015258789,40.20000076293945,3294900.0,34.3397216796875,-0.006671841887620489,34.26101330348423,34.79612785339356
2014-08-08,2014,8,8,Friday,42.75,41.79999923706055,42.56999969482422,7965500.0,36.364227294921875,0.058955213269299866,34.45260320390974,34.82899864196777
2014-08-11,2014,8,11,Monday,42.88999938964844,42.15999984741211,42.290000915527344,3390200.0,36.12504959106445,-0.006577279971265115,34.624058314732146,34.85079780578613
2014-08-12,2014,8,12,Tuesday,42.650001525878906,42.119998931884766,42.290000915527344,1897500.0,36.12504959106445,0.0,34.76744597298758,34.86783836364746
2014-08-13,2014,8,13,Wednesday,42.290000915527344,41.630001068115234,42.02000045776367,2852200.0,35.894412994384766,-0.006384395296075485,34.88093594142369,34.893692321777344
2014-08-14,2014,8,14,Thursday,42.209999084472656,41.7400016784668,42.13999938964844,2741100.0,35.996910095214844,0.0028555168417467858,35.01639148167202,34.91428833007812
2014-08-15,2014,8,15,Friday,42.40999984741211,41.630001068115234,41.90999984741211,2574500.0,35.80044174194336,-0.0054579227148054965,35.11340659005301,34.930275192260744
2014-08-18,2014,8,18,Monday,42.22999954223633,42.0,42.040000915527344,2486900.0,35.911495208740234,0.003102013868917286,35.21347263881138,34.93369750976562
2014-08-19,2014,8,19,Tuesday,42.7400016784668,42.25,42.689998626708984,3781900.0,36.466732025146484,0.015461255878622238,35.32269041878836,34.95230339050293
2014-08-20,2014,8,20,Wednesday,43.209999084472656,42.650001525878906,43.11000061035156,4616100.0,36.82550811767578,0.009838449255115345,35.505737577165874,34.98726196289063
2014-08-21,2014,8,21,Thursday,43.380001068115234,42.7599983215332,43.18000030517578,5340800.0,36.88530349731445,0.0016237489364057112,35.69793701171875,35.02851486206055
